연립다세대,Unnamed: 0,지역코드,법정동,지번,건축년도,층,전용면적,년,월,일,보증금액,월세금액,계약구분,계약기간,갱신요구권사용,종전계약보증금,종전계약월세,위도,경도,가까운역,가까운역과의 거리
광진연립B동,0,11200,하왕십리동,890-401,1986,3.0,39.7,2015,1,9,15000,0,,,,,,37.562462,127.029586,상왕십리역[2호선],0.23590864529051556
수빌,1,11200,하왕십리동,890-114,2012,4.0,13.97,2015,1,10,3000,30,,,,,,37.562462,127.029586,상왕십리역[2호선],0.23590864529051556
미래팰리스,417,11200,하왕십리동,890-97,1999,3.0,51.92,2015,4,20,18000,0,,,,,,37.562462,127.029586,상왕십리역[2호선],0.23590864529051556
광진연립A동,538,11200,하왕십리동,890-96,1986,2.0,41.46,2015,5,13,12000,0,,,,,,37.562462,127.029586,상왕십리역[2호선],0.23590864529051556
창우빌딩,539,11200,하왕십리동,966-16,2013,5.0,12.87,2015,5,14,7000,0,,,,,,37.562462,127.029586,상왕십리역[2호선],0.23590864529051556
창우빌딩,921,11200,하왕십리동,966-16,2013,6.0,18.4,2015,9,8,4000,30,,,,,,37.562462,127.029586,상왕십리역[2호선],0.23590864529051556
로얄빌리지,1084,11200,하왕십리동,979-13,2007,5.0,61.83,2015,11,21,26000,0,,,,,,37.562462,127.029586,상왕십리역[2호선],0.23590864529051556
성동펠리츠빌,1164,11200,하왕십리동,994-13,2003,1.0,50.77,2015,12,11,10000,50,,,,,,37.562462,127.029586,상왕십리역[2호선],0.23590864529051556
성동펠리츠빌,1257,11200,하왕십리동,994-13,2003,1.0,52.92,2016,1,25,23000,0,,,,,,37.562462,127.029586,상왕십리역[2호선],0.23590864529051556
수빌,1370,11200,하왕십리동,890-114,2012,2.0,16.23,2016,2,6,1000,40,,,,,,37.562462,127.029586,상왕십리역[2호선],0.23590864529051556
광진연립B동,1467,11200,하왕십리동,890-401,1986,-1.0,41.59,2016,3,2,15000,0,,,,,,37.562462,127.029586,상왕십리역[2호선],0.23590864529051556
미래팰리스,1468,11200,하왕십리동,890-97,1999,3.0,53.85,2016,3,7,18000,0,,,,,,37.562462,127.029586,상왕십리역[2호선],0.23590864529051556
창우빌딩,1469,11200,하왕십리동,966-16,2013,7.0,12.87,2016,3,23,7000,0,,,,,,37.562462,127.029586,상왕십리역[2호선],0.23590864529051556
진성빌라,1586,11200,하왕십리동,976-7,1991,,27.65,2016,4,16,3000,45,,,,,,37.562462,127.029586,상왕십리역[2호선],0.23590864529051556
수빌,1684,11200,하왕십리동,890-114,2012,5.0,30.62,2016,5,30,1500,50,,,,,,37.562462,127.029586,상왕십리역[2호선],0.23590864529051556
파크힐,1783,11200,하왕십리동,890-125,2012,3.0,46.55,2016,6,25,12000,50,,,,,,37.562462,127.029586,상왕십리역[2호선],0.23590864529051556
진성빌라,1784,11200,하왕십리동,976-7,1991,2.0,64.17,2016,6,28,14000,0,,,,,,37.562462,127.029586,상왕십리역[2호선],0.23590864529051556
파크힐,1873,11200,하왕십리동,890-125,2012,3.0,20.27,2016,7,12,1000,55,,,,,,37.562462,127.029586,상왕십리역[2호선],0.23590864529051556
파크힐,1976,11200,하왕십리동,890-125,2012,5.0,47.24,2016,8,6,14000,45,,,,,,37.562462,127.029586,상왕십리역[2호선],0.23590864529051556
창우빌딩,2071,11200,하왕십리동,966-16,2013,5.0,18.4,2016,9,8,7000,0,,,,,,37.562462,127.029586,상왕십리역[2호선],0.23590864529051556
창우빌딩,2175,11200,하왕십리동,966-16,2013,7.0,12.87,2016,10,18,7000,0,,,,,,37.562462,127.029586,상왕십리역[2호선],0.23590864529051556
성동펠리츠빌,2396,11200,하왕십리동,994-13,2003,2.0,52.92,2016,12,3,10000,40,,,,,,37.562462,127.029586,상왕십리역[2호선],0.23590864529051556
성동펠리츠빌,2397,11200,하왕십리동,994-13,2003,1.0,50.77,2016,12,17,23000,0,,,,,,37.562462,127.029586,상왕십리역[2호선],0.23590864529051556
삼성빌,2398,11200,하왕십리동,890-390,2004,4.0,69.24,2016,12,21,25000,0,,,,,,37.562462,127.029586,상왕십리역[2호선],0.23590864529051556
창우빌딩,2399,11200,하왕십리동,966-16,2013,5.0,18.17,2016,12,23,8000,0,,,,,,37.562462,127.029586,상왕십리역[2호선],0.23590864529051556
파크힐,2523,11200,하왕십리동,890-125,2012,3.0,21.11,2017,1,14,1000,70,,,,,,37.562462,127.029586,상왕십리역[2호선],0.23590864529051556
파크힐,2656,11200,하왕십리동,890-125,2012,2.0,20.27,2017,2,1,1000,60,,,,,,37.562462,127.029586,상왕십리역[2호선],0.23590864529051556
파크힐,2657,11200,하왕십리동,890-125,2012,2.0,18.3,2017,2,2,3000,50,,,,,,37.562462,127.029586,상왕십리역[2호선],0.23590864529051556
미래팰리스,2658,11200,하왕십리동,890-97,1999,3.0,54.27,2017,2,16,19000,0,,,,,,37.562462,127.029586,상왕십리역[2호선],0.23590864529051556
수빌,2820,11200,하왕십리동,890-114,2012,2.0,12.96,2017,3,8,2500,31,,,,,,37.562462,127.029586,상왕십리역[2호선],0.23590864529051556
(980-55),2821,11200,하왕십리동,980-55,2002,3.0,38.92,2017,3,18,8500,30,,,,,,37.562462,127.029586,상왕십리역[2호선],0.23590864529051556
미래팰리스,2822,11200,하왕십리동,890-97,1999,1.0,61.75,2017,3,24,19000,0,,,,,,37.562462,127.029586,상왕십리역[2호선],0.23590864529051556
광진연립B동,2952,11200,하왕십리동,890-401,1986,2.0,41.59,2017,4,13,2000,65,,,,,,37.562462,127.029586,상왕십리역[2호선],0.23590864529051556
광진연립B동,3171,11200,하왕십리동,890-401,1986,3.0,39.7,2017,6,14,16000,0,,,,,,37.562462,127.029586,상왕십리역[2호선],0.23590864529051556
(976-12),3298,11200,하왕십리동,976-12,2007,2.0,58.0,2017,7,3,10000,65,,,,,,37.562462,127.029586,상왕십리역[2호선],0.23590864529051556
미래팰리스,3299,11200,하왕십리동,890-97,1999,2.0,50.19,2017,7,24,20000,0,,,,,,37.562462,127.029586,상왕십리역[2호선],0.23590864529051556
로얄빌리지,3394,11200,하왕십리동,979-13,2007,3.0,71.78,2017,8,1,24000,0,,,,,,37.562462,127.029586,상왕십리역[2호선],0.23590864529051556
창우빌딩,3395,11200,하왕십리동,966-16,2013,5.0,12.87,2017,8,22,9000,0,,,,,,37.562462,127.029586,상왕십리역[2호선],0.23590864529051556
광진연립A동,3396,11200,하왕십리동,890-96,1986,2.0,41.46,2017,8,31,20000,0,,,,,,37.562462,127.029586,상왕십리역[2호선],0.23590864529051556
광진연립A동,3397,11200,하왕십리동,890-96,1986,2.0,41.46,2017,8,31,20000,0,,17.09~19.09,,,,37.562462,127.029586,상왕십리역[2호선],0.23590864529051556
(976-12),3487,11200,하왕십리동,976-12,2007,4.0,83.04,2017,9,3,24500,0,,,,,,37.562462,127.029586,상왕십리역[2호선],0.23590864529051556
성은빌딩,3488,11200,하왕십리동,890-98,1997,6.0,108.6,2017,9,7,14000,0,,,,,,37.562462,127.029586,상왕십리역[2호선],0.23590864529051556
창우빌딩,3489,11200,하왕십리동,966-16,2013,5.0,12.87,2017,9,14,8000,0,,,,,,37.562462,127.029586,상왕십리역[2호선],0.23590864529051556
동인드림힐스,3490,11200,하왕십리동,890-181,2017,2.0,27.51,2017,9,21,1000,90,,,,,,37.562462,127.029586,상왕십리역[2호선],0.23590864529051556
동인드림힐스,3573,11200,하왕십리동,890-181,2017,2.0,27.51,2017,10,14,22000,0,,,,,,37.562462,127.029586,상왕십리역[2호선],0.23590864529051556
창우빌딩,3574,11200,하왕십리동,966-16,2013,7.0,12.87,2017,10,14,8000,0,,,,,,37.562462,127.029586,상왕십리역[2호선],0.23590864529051556
창우빌딩,3575,11200,하왕십리동,966-16,2013,5.0,18.4,2017,10,23,8000,0,,,,,,37.562462,127.029586,상왕십리역[2호선],0.23590864529051556
창우빌딩,3576,11200,하왕십리동,966-16,2013,6.0,18.4,2017,10,23,5000,30,,,,,,37.562462,127.029586,상왕십리역[2호선],0.23590864529051556
미래팰리스,3734,11200,하왕십리동,890-97,1999,1.0,79.93,2017,12,14,18000,0,,,,,,37.562462,127.029586,상왕십리역[2호선],0.23590864529051556
창우빌딩,3856,11200,하왕십리동,966-16,2013,6.0,18.4,2018,1,18,5000,30,,,,,,37.562462,127.029586,상왕십리역[2호선],0.23590864529051556
로얄빌리지,3857,11200,하왕십리동,979-13,2007,4.0,69.85,2018,1,27,4000,100,,,,,,37.562462,127.029586,상왕십리역[2호선],0.23590864529051556
파크힐,4006,11200,하왕십리동,890-125,2012,2.0,20.27,2018,2,24,1000,60,,,,,,37.562462,127.029586,상왕십리역[2호선],0.23590864529051556
광진연립B동,4130,11200,하왕십리동,890-401,1986,-1.0,41.59,2018,3,9,15000,0,,,,,,37.562462,127.029586,상왕십리역[2호선],0.23590864529051556
광진연립B동,4131,11200,하왕십리동,890-401,1986,3.0,39.7,2018,3,10,16000,0,,,,,,37.562462,127.029586,상왕십리역[2호선],0.23590864529051556
진성빌라,4132,11200,하왕십리동,976-7,1991,1.0,64.17,2018,3,15,23000,0,,,,,,37.562462,127.029586,상왕십리역[2호선],0.23590864529051556
수빌,4133,11200,하왕십리동,890-114,2012,4.0,13.97,2018,3,26,2000,35,,,,,,37.562462,127.029586,상왕십리역[2호선],0.23590864529051556
982-4,4447,11200,하왕십리동,982-4,2018,6.0,29.97,2018,5,1,27500,0,,,,,,37.562462,127.029586,상왕십리역[2호선],0.23590864529051556
미래팰리스,4448,11200,하왕십리동,890-97,1999,1.0,53.2,2018,5,10,8000,0,,,,,,37.562462,127.029586,상왕십리역[2호선],0.23590864529051556
미래팰리스,4449,11200,하왕십리동,890-97,1999,4.0,49.1,2018,5,10,11000,20,,,,,,37.562462,127.029586,상왕십리역[2호선],0.23590864529051556
(974-16),4591,11200,하왕십리동,974-16,1986,3.0,49.84,2018,6,5,14000,0,,,,,,37.562462,127.029586,상왕십리역[2호선],0.23590864529051556
(986-79),4592,11200,하왕십리동,986-79,1998,3.0,93.44,2018,6,11,28000,0,,,,,,37.562462,127.029586,상왕십리역[2호선],0.23590864529051556
성은빌딩,4593,11200,하왕십리동,890-98,1997,3.0,67.05,2018,6,15,30000,0,,,,,,37.562462,127.029586,상왕십리역[2호선],0.23590864529051556
창우빌딩,4594,11200,하왕십리동,966-16,2013,6.0,12.87,2018,6,25,8000,0,,,,,,37.562462,127.029586,상왕십리역[2호선],0.23590864529051556
파크힐,4709,11200,하왕십리동,890-125,2012,5.0,96.22,2018,7,4,3000,50,,,,,,37.562462,127.029586,상왕십리역[2호선],0.23590864529051556
수빌,4804,11200,하왕십리동,890-114,2012,3.0,12.93,2018,8,14,1000,41,,,,,,37.562462,127.029586,상왕십리역[2호선],0.23590864529051556
창우빌딩,5009,11200,하왕십리동,966-16,2013,5.0,12.87,2018,10,19,8000,0,,,,,,37.562462,127.029586,상왕십리역[2호선],0.23590864529051556
성동펠리츠빌,5258,11200,하왕십리동,994-13,2003,1.0,50.77,2018,12,13,25000,0,,,,,,37.562462,127.029586,상왕십리역[2호선],0.23590864529051556
삼성빌,5379,11200,하왕십리동,890-390,2004,4.0,69.24,2019,1,14,33000,0,,,,,,37.562462,127.029586,상왕십리역[2호선],0.23590864529051556
파크힐,5380,11200,하왕십리동,890-125,2012,3.0,18.3,2019,1,26,3000,50,,,,,,37.562462,127.029586,상왕십리역[2호선],0.23590864529051556
성은빌딩,5553,11200,하왕십리동,890-98,1997,6.0,108.6,2019,2,19,14500,0,,,,,,37.562462,127.029586,상왕십리역[2호선],0.23590864529051556
파크힐,5554,11200,하왕십리동,890-125,2012,3.0,20.27,2019,2,22,1000,60,,,,,,37.562462,127.029586,상왕십리역[2호선],0.23590864529051556
(976-12),5555,11200,하왕십리동,976-12,2007,3.0,57.31,2019,2,28,23000,0,,,,,,37.562462,127.029586,상왕십리역[2호선],0.23590864529051556
파크힐,5693,11200,하왕십리동,890-125,2012,4.0,47.79,2019,3,5,10000,65,,,,,,37.562462,127.029586,상왕십리역[2호선],0.23590864529051556
수빌,5694,11200,하왕십리동,890-114,2012,2.0,12.96,2019,3,16,2500,31,,,,,,37.562462,127.029586,상왕십리역[2호선],0.23590864529051556
창우빌딩,5695,11200,하왕십리동,966-16,2013,6.0,18.4,2019,3,25,10000,0,,,,,,37.562462,127.029586,상왕십리역[2호선],0.23590864529051556
(974-16),5816,11200,하왕십리동,974-16,1986,2.0,49.84,2019,4,13,20000,0,,,,,,37.562462,127.029586,상왕십리역[2호선],0.23590864529051556
성은빌딩,5817,11200,하왕십리동,890-98,1997,3.0,60.6,2019,4,26,29000,0,,,,,,37.562462,127.029586,상왕십리역[2호선],0.23590864529051556
(980-55),5914,11200,하왕십리동,980-55,2002,2.0,29.76,2019,5,4,2000,45,,,,,,37.562462,127.029586,상왕십리역[2호선],0.23590864529051556
창우빌딩,5915,11200,하왕십리동,966-16,2013,5.0,12.87,2019,5,13,10000,0,,,,,,37.562462,127.029586,상왕십리역[2호선],0.23590864529051556
(980-55),5916,11200,하왕십리동,980-55,2002,3.0,40.82,2019,5,16,10000,30,,,,,,37.562462,127.029586,상왕십리역[2호선],0.23590864529051556
동인드림힐스,5917,11200,하왕십리동,890-181,2017,2.0,19.24,2019,5,18,16650,0,,,,,,37.562462,127.029586,상왕십리역[2호선],0.23590864529051556
미래팰리스,6014,11200,하왕십리동,890-97,1999,2.0,49.51,2019,6,15,18000,0,,,,,,37.562462,127.029586,상왕십리역[2호선],0.23590864529051556
미래팰리스,6015,11200,하왕십리동,890-97,1999,2.0,49.51,2019,6,15,18000,0,,,,,,37.562462,127.029586,상왕십리역[2호선],0.23590864529051556
(976-12),6016,11200,하왕십리동,976-12,2007,2.0,58.0,2019,6,18,10000,65,,,,,,37.562462,127.029586,상왕십리역[2호선],0.23590864529051556
(970-64),6120,11200,하왕십리동,970-64,1987,1.0,75.26,2019,7,6,3500,15,,,,,,37.562462,127.029586,상왕십리역[2호선],0.23590864529051556
성은빌딩,6121,11200,하왕십리동,890-98,1997,6.0,108.6,2019,7,16,37500,0,,,,,,37.562462,127.029586,상왕십리역[2호선],0.23590864529051556
광진연립B동,6122,11200,하왕십리동,890-401,1986,2.0,41.59,2019,7,20,3000,65,,,,,,37.562462,127.029586,상왕십리역[2호선],0.23590864529051556
창우빌딩,6232,11200,하왕십리동,966-16,2013,5.0,18.17,2019,8,19,11000,0,,,,,,37.562462,127.029586,상왕십리역[2호선],0.23590864529051556
창우빌딩,6415,11200,하왕십리동,966-16,2013,7.0,12.87,2019,10,8,10000,0,,,,,,37.562462,127.029586,상왕십리역[2호선],0.23590864529051556
창우빌딩,6416,11200,하왕십리동,966-16,2013,7.0,18.17,2019,10,17,11000,0,,,,,,37.562462,127.029586,상왕십리역[2호선],0.23590864529051556
창우빌딩,6417,11200,하왕십리동,966-16,2013,5.0,18.4,2019,10,17,11000,0,,,,,,37.562462,127.029586,상왕십리역[2호선],0.23590864529051556
창우빌딩,6418,11200,하왕십리동,966-16,2013,5.0,12.87,2019,10,30,10000,0,,,,,,37.562462,127.029586,상왕십리역[2호선],0.23590864529051556
982-4,6639,11200,하왕십리동,982-4,2018,5.0,26.32,2019,12,19,20000,0,,,,,,37.562462,127.029586,상왕십리역[2호선],0.23590864529051556
미래팰리스,6640,11200,하왕십리동,890-97,1999,2.0,50.19,2019,12,19,20000,0,,,,,,37.562462,127.029586,상왕십리역[2호선],0.23590864529051556
창우빌딩,6641,11200,하왕십리동,966-16,2013,6.0,12.87,2019,12,20,10000,0,,,,,,37.562462,127.029586,상왕십리역[2호선],0.23590864529051556
(974-18),6781,11200,하왕십리동,974-18,1986,3.0,45.23,2020,1,9,15000,0,,,,,,37.562462,127.029586,상왕십리역[2호선],0.23590864529051556
982-4,6782,11200,하왕십리동,982-4,2018,5.0,26.32,2020,1,13,20000,0,,,,,,37.562462,127.029586,상왕십리역[2호선],0.23590864529051556
진성빌라,6783,11200,하왕십리동,976-7,1991,-1.0,27.65,2020,1,21,1000,55,,,,,,37.562462,127.029586,상왕십리역[2호선],0.23590864529051556
(986-79),6784,11200,하왕십리동,986-79,1998,2.0,38.6,2020,1,28,16500,0,,,,,,37.562462,127.029586,상왕십리역[2호선],0.23590864529051556
982-4,6785,11200,하왕십리동,982-4,2018,5.0,25.48,2020,1,30,21000,0,,,,,,37.562462,127.029586,상왕십리역[2호선],0.23590864529051556
(980-55),6921,11200,하왕십리동,980-55,2002,3.0,38.92,2020,2,5,8500,35,,,,,,37.562462,127.029586,상왕십리역[2호선],0.23590864529051556
982-4,6922,11200,하왕십리동,982-4,2018,7.0,29.91,2020,2,22,26000,0,,,,,,37.562462,127.029586,상왕십리역[2호선],0.23590864529051556
창우빌딩,7081,11200,하왕십리동,966-16,2013,7.0,12.87,2020,3,7,10000,0,,,,,,37.562462,127.029586,상왕십리역[2호선],0.23590864529051556
(974-16),7201,11200,하왕십리동,974-16,1986,1.0,49.84,2020,4,6,3000,55,,,,,,37.562462,127.029586,상왕십리역[2호선],0.23590864529051556
동인드림힐스,7336,11200,하왕십리동,890-181,2017,2.0,26.86,2020,5,5,6000,60,,,,,,37.562462,127.029586,상왕십리역[2호선],0.23590864529051556
진성빌라,7337,11200,하왕십리동,976-7,1991,1.0,64.17,2020,5,7,25000,0,,,,,,37.562462,127.029586,상왕십리역[2호선],0.23590864529051556
파크힐,7447,11200,하왕십리동,890-125,2012,2.0,21.95,2020,6,1,1000,60,,,,,,37.562462,127.029586,상왕십리역[2호선],0.23590864529051556
진성빌라,7448,11200,하왕십리동,976-7,1991,2.0,64.17,2020,6,30,20000,0,,,,,,37.562462,127.029586,상왕십리역[2호선],0.23590864529051556
진성빌라,7449,11200,하왕십리동,976-7,1991,2.0,64.17,2020,6,30,23000,0,,,,,,37.562462,127.029586,상왕십리역[2호선],0.23590864529051556
창우빌딩,7561,11200,하왕십리동,966-16,2013,6.0,12.87,2020,7,14,10000,0,,,,,,37.562462,127.029586,상왕십리역[2호선],0.23590864529051556
미래팰리스,7928,11200,하왕십리동,890-97,1999,2.0,52.99,2020,10,27,13900,12,,,,,,37.562462,127.029586,상왕십리역[2호선],0.23590864529051556
성동펠리츠빌,8034,11200,하왕십리동,994-13,2003,1.0,52.92,2020,11,17,33000,0,,,,,,37.562462,127.029586,상왕십리역[2호선],0.23590864529051556
성동펠리츠빌,8140,11200,하왕십리동,994-13,2003,1.0,50.77,2020,12,9,26250,0,,,,,,37.562462,127.029586,상왕십리역[2호선],0.23590864529051556
삼성빌,8141,11200,하왕십리동,890-390,2004,2.0,69.24,2020,12,29,38000,0,,,,,,37.562462,127.029586,상왕십리역[2호선],0.23590864529051556
미래팰리스,8417,11200,하왕십리동,890-97,1999,3.0,54.27,2021,2,2,19950,0,,,,,,37.562462,127.029586,상왕십리역[2호선],0.23590864529051556
창우빌딩,8532,11200,하왕십리동,966-16,2013,5.0,18.17,2021,3,30,13000,0,,,,,,37.562462,127.029586,상왕십리역[2호선],0.23590864529051556
(976-12),8693,11200,하왕십리동,976-12,2007,3.0,57.31,2021,4,24,24150,0,,,,,,37.562462,127.029586,상왕십리역[2호선],0.23590864529051556
성은빌딩,8694,11200,하왕십리동,890-98,1997,3.0,60.6,2021,4,30,30000,0,,,,,,37.562462,127.029586,상왕십리역[2호선],0.23590864529051556
(980-55),8960,11200,하왕십리동,980-55,2002,3.0,40.82,2021,6,8,10000,30,,21.06~23.06,,,,37.562462,127.029586,상왕십리역[2호선],0.23590864529051556
창우빌딩,8961,11200,하왕십리동,966-16,2013,5.0,12.87,2021,6,9,12000,0,,,,,,37.562462,127.029586,상왕십리역[2호선],0.23590864529051556
가온팰리스,8962,11200,하왕십리동,966-43,2021,4.0,36.84,2021,6,10,5000,120,신규,21.06~23.06,,,,37.562462,127.029586,상왕십리역[2호선],0.23590864529051556
(980-55),8963,11200,하왕십리동,980-55,2002,4.0,72.1,2021,6,16,32700,0,신규,21.08~23.08,,,,37.562462,127.029586,상왕십리역[2호선],0.23590864529051556
982-4,8964,11200,하왕십리동,982-4,2018,5.0,26.32,2021,6,16,21000,0,신규,21.07~23.07,,,,37.562462,127.029586,상왕십리역[2호선],0.23590864529051556
(985-16),8965,11200,하왕십리동,985-16,2021,2.0,29.83,2021,6,19,29000,0,신규,21.08~23.08,,,,37.562462,127.029586,상왕십리역[2호선],0.23590864529051556
파크힐,9118,11200,하왕십리동,890-125,2012,5.0,96.22,2021,7,8,1000,56,갱신,21.07~22.07,,3000.0,50.0,37.562462,127.029586,상왕십리역[2호선],0.23590864529051556
파크힐,9119,11200,하왕십리동,890-125,2012,5.0,47.24,2021,7,11,10000,57,신규,21.08~23.08,,,,37.562462,127.029586,상왕십리역[2호선],0.23590864529051556
가온팰리스,9120,11200,하왕십리동,966-43,2021,3.0,29.91,2021,7,12,5000,90,신규,21.08~23.08,,,,37.562462,127.029586,상왕십리역[2호선],0.23590864529051556
수빌,9121,11200,하왕십리동,890-114,2012,3.0,16.23,2021,7,17,1000,32,신규,21.07~23.07,,,,37.562462,127.029586,상왕십리역[2호선],0.23590864529051556
수빌,9309,11200,하왕십리동,890-114,2012,4.0,15.89,2021,8,5,1000,40,신규,21.08~22.08,,,,37.562462,127.029586,상왕십리역[2호선],0.23590864529051556
(976-12),9310,11200,하왕십리동,976-12,2007,2.0,58.0,2021,8,11,10000,80,신규,21.09~23.09,,,,37.562462,127.029586,상왕십리역[2호선],0.23590864529051556
(974-16),9311,11200,하왕십리동,974-16,1986,1.0,49.84,2021,8,13,3000,55,,,,,,37.562462,127.029586,상왕십리역[2호선],0.23590864529051556
가온팰리스,9312,11200,하왕십리동,966-43,2021,5.0,36.84,2021,8,15,5000,120,신규,21.08~23.08,,,,37.562462,127.029586,상왕십리역[2호선],0.23590864529051556
(974-16),9313,11200,하왕십리동,974-16,1986,2.0,49.84,2021,8,17,17000,0,신규,21.09~23.09,,,,37.562462,127.029586,상왕십리역[2호선],0.23590864529051556
광진연립A동,9314,11200,하왕십리동,890-96,1986,2.0,41.46,2021,8,19,20000,15,,21.09~23.09,,,,37.562462,127.029586,상왕십리역[2호선],0.23590864529051556
동인드림힐스,9465,11200,하왕십리동,890-181,2017,2.0,27.51,2021,9,3,23000,0,신규,21.11~23.11,,,,37.562462,127.029586,상왕십리역[2호선],0.23590864529051556
(985-16),9466,11200,하왕십리동,985-16,2021,3.0,29.83,2021,9,4,29000,0,신규,21.10~23.09,,,,37.562462,127.029586,상왕십리역[2호선],0.23590864529051556
창우빌딩,9467,11200,하왕십리동,966-16,2013,7.0,12.87,2021,9,27,12000,0,,21.11~23.11,,,,37.562462,127.029586,상왕십리역[2호선],0.23590864529051556
(985-16),9609,11200,하왕십리동,985-16,2021,3.0,29.15,2021,10,2,24000,0,,,,,,37.562462,127.029586,상왕십리역[2호선],0.23590864529051556
삼성빌,9610,11200,하왕십리동,890-390,2004,4.0,69.24,2021,10,15,37000,0,신규,21.12~23.12,,,,37.562462,127.029586,상왕십리역[2호선],0.23590864529051556
창우빌딩,9611,11200,하왕십리동,966-16,2013,5.0,12.87,2021,10,22,12000,0,갱신,21.11~23.11,,10000.0,,37.562462,127.029586,상왕십리역[2호선],0.23590864529051556
(970-64),9612,11200,하왕십리동,970-64,1987,1.0,75.26,2021,10,25,33000,0,신규,22.01~24.01,,,,37.562462,127.029586,상왕십리역[2호선],0.23590864529051556
창우빌딩,9774,11200,하왕십리동,966-16,2013,5.0,18.4,2021,11,4,13000,0,갱신,21.11~23.11,,11000.0,,37.562462,127.029586,상왕십리역[2호선],0.23590864529051556
(985-16),9775,11200,하왕십리동,985-16,2021,2.0,29.41,2021,11,13,24000,0,,,,,,37.562462,127.029586,상왕십리역[2호선],0.23590864529051556
수빌,9776,11200,하왕십리동,890-114,2012,4.0,13.97,2021,11,22,1000,40,신규,21.12~23.12,,,,37.562462,127.029586,상왕십리역[2호선],0.23590864529051556
(974-18),9897,11200,하왕십리동,974-18,1986,3.0,45.23,2021,12,6,15750,0,갱신,22.01~24.01,사용,15000.0,,37.562462,127.029586,상왕십리역[2호선],0.23590864529051556
가온팰리스,9898,11200,하왕십리동,966-43,2021,2.0,29.91,2021,12,18,5000,90,,,,,,37.562462,127.029586,상왕십리역[2호선],0.23590864529051556
파크힐,9899,11200,하왕십리동,890-125,2012,2.0,46.55,2021,12,28,10000,43,신규,22.03~23.03,,,,37.562462,127.029586,상왕십리역[2호선],0.23590864529051556
수빌,10080,11200,하왕십리동,890-114,2012,2.0,12.93,2022,1,7,500,35,신규,22.01~23.01,,,,37.562462,127.029586,상왕십리역[2호선],0.23590864529051556
미래팰리스,10081,11200,하왕십리동,890-97,1999,1.0,79.93,2022,1,10,18000,0,,22.02~24.02,,,,37.562462,127.029586,상왕십리역[2호선],0.23590864529051556
미래팰리스,10082,11200,하왕십리동,890-97,1999,1.0,79.93,2022,1,10,18000,0,,22.02~24.02,,,,37.562462,127.029586,상왕십리역[2호선],0.23590864529051556
창우빌딩,10083,11200,하왕십리동,966-16,2013,5.0,12.87,2022,1,14,12000,0,신규,22.02~24.02,,,,37.562462,127.029586,상왕십리역[2호선],0.23590864529051556
가온팰리스,10084,11200,하왕십리동,966-43,2021,2.0,29.91,2022,1,24,2000,40,신규,22.02~24.02,,,,37.562462,127.029586,상왕십리역[2호선],0.23590864529051556
982-4,10313,11200,하왕십리동,982-4,2018,7.0,29.91,2022,2,23,27000,0,,,,,,37.562462,127.029586,상왕십리역[2호선],0.23590864529051556
982-4,10314,11200,하왕십리동,982-4,2018,7.0,29.91,2022,2,23,27000,0,,,,,,37.562462,127.029586,상왕십리역[2호선],0.23590864529051556
로얄빌리지,10488,11200,하왕십리동,979-13,2007,4.0,69.85,2022,3,12,35000,0,신규,22.05~24.05,,,,37.562462,127.029586,상왕십리역[2호선],0.23590864529051556
982-4,10489,11200,하왕십리동,982-4,2018,6.0,29.97,2022,3,26,30000,0,신규,22.04~24.04,,,,37.562462,127.029586,상왕십리역[2호선],0.23590864529051556
수빌,10666,11200,하왕십리동,890-114,2012,3.0,12.93,2022,4,19,500,35,신규,22.05~24.05,,,,37.562462,127.029586,상왕십리역[2호선],0.23590864529051556
광진연립B동,10853,11200,하왕십리동,890-401,1986,3.0,39.7,2022,5,19,3000,90,신규,22.07~24.07,,,,37.562462,127.029586,상왕십리역[2호선],0.23590864529051556
진성빌라,10854,11200,하왕십리동,976-7,1991,-1.0,27.21,2022,5,31,5000,25,,,,,,37.562462,127.029586,상왕십리역[2호선],0.23590864529051556
성은빌딩,11021,11200,하왕십리동,890-98,1997,3.0,67.05,2022,6,24,41000,5,신규,22.08~24.08,,,,37.562462,127.029586,상왕십리역[2호선],0.23590864529051556
진성빌라,11201,11200,하왕십리동,976-7,1991,2.0,64.17,2022,7,4,30000,0,신규,22.08~24.08,,,,37.562462,127.029586,상왕십리역[2호선],0.23590864529051556
(985-5),11202,11200,하왕십리동,985-5,1986,2.0,52.31,2022,7,16,10000,40,갱신,22.07~24.07,,10000.0,40.0,37.562462,127.029586,상왕십리역[2호선],0.23590864529051556
파크힐,11203,11200,하왕십리동,890-125,2012,2.0,18.3,2022,7,23,1000,60,신규,22.08~23.08,,,,37.562462,127.029586,상왕십리역[2호선],0.23590864529051556
(974-16),11204,11200,하왕십리동,974-16,1986,3.0,49.84,2022,7,25,14000,0,신규,22.07~24.07,,,,37.562462,127.029586,상왕십리역[2호선],0.23590864529051556
동인드림힐스,11380,11200,하왕십리동,890-181,2017,2.0,19.24,2022,8,1,2300,0,,,,,,37.562462,127.029586,상왕십리역[2호선],0.23590864529051556
(976-12),11381,11200,하왕십리동,976-12,2007,4.0,83.04,2022,8,20,25000,35,신규,22.09~24.09,,,,37.562462,127.029586,상왕십리역[2호선],0.23590864529051556
